State Name,State Code,City Code,City Name,County Code,County Name
ILLINOIS,17,0730,BENLD,117,MACOUPIN
INDIANA,18,0730,CASTLETON,097,MARION
IOWA,19,0730,BELMOND,197,WRIGHT
KANSAS,20,0730,BUSHONG,111,LYON
KENTUCKY,21,0730,COLD SPRING,037,CAMPBELL
LOUISIANA,22,0730,EVERGREEN,009,AVOYELLES
MARYLAND,24,0730,HAGERSTOWN,043,WASHINGTON
MASSACHUSETTS,25,0730,MEDWAY,021,NORFOLK
MICHIGAN,26,0730,CAMDEN,059,HILLSDALE
MINNESOTA,27,0730,BOWLUS,097,MORRISON
MISSISSIPPI,28,0730,DUNCAN,011,BOLIVAR
MISSOURI,29,0730,BILLINGS,043,CHRISTIAN
MONTANA,30,0730,LIBBY,053,LINCOLN
NEBRASKA,31,0730,BROWNVILLE,127,NEMAHA
NEW JERSEY,34,0730,DELANCO,005,BURLINGTON
NEW MEXICO,35,0730,SANTA ROSA,019,GUADALUPE
